1;const;0,0012;0,0007;0,0002;0,0003;0,0002;
2;const;0,0011;0,0005;0,0003;0,0002;0,0003;
3;const;0,0007;0,0005;0,0004;0,0003;0,0003;
4;const;0,001;0,0006;0,0006;0,0003;0,0003;
5;const;0,0009;0,0008;0,0006;0,0003;0,0003;
6;const;0,0011;0,0012;0,0009;0,0005;0,0005;
7;const;0,0009;0,0005;0,0007;0,0003;0,0004;
8;const;0,0011;0,0009;0,0009;0,0005;0,0004;
9;const;0,001;0,0007;0,0009;0,0005;0,0005;
10;const;0,0017;0,0011;0,0013;0,0007;0,0006;
11;const;0,0013;0,0007;0,0014;0,0007;0,0006;
12;const;0,0013;0,0008;0,0016;0,0007;0,0007;
13;const;0,002;0,0012;0,0066;0,0009;0,0009;
14;const;0,0013;0,0008;0,0013;0,0006;0,0006;
15;const;0,0022;0,001;0,0025;0,0009;0,0011;
16;const;0,0018;0,0011;0,0019;0,0008;0,0009;
17;const;0,0018;0,008;0,0023;0,0009;0,0009;
18;const;0,0022;0,0015;0,0029;0,0011;0,0014;
19;const;0,0019;0,0008;0,0023;0,0009;0,0011;
20;const;0,0023;0,0011;0,0079;0,0012;0,0014;
21;const;0,0021;0,0012;0,0024;0,0009;0,0012;
22;const;0,0294;0,0009;0,0027;0,0011;0,0018;
23;const;0,0024;0,0011;0,0067;0,0009;0,0018;
24;const;0,0026;0,0012;0,0025;0,0015;0,0018;
25;const;0,0025;0,0015;0,0028;0,0012;0,0018;
26;const;0,0025;0,0011;0,0027;0,0012;0,0019;
27;const;0,0027;0,0007;0,0029;0,0013;0,002;
28;const;0,0029;0,0009;0,0075;0,0014;0,0021;
29;const;0,0029;0,001;0,0029;0,0012;0,002;
30;const;0,0031;0,0009;0,0075;0,0013;0,0023;
31;const;0,0027;0,0011;0,0029;0,001;0,0018;
32;const;0,0033;0,0012;0,0033;0,0019;0,0028;
33;const;0,0035;0,0012;0,0035;0,0018;0,0028;
34;const;0,0031;0,0012;0,0036;0,0014;0,0027;
35;const;0,0046;0,0034;0,0048;0,0026;0,0035;
36;const;0,0045;0,0013;0,0135;0,0014;0,0024;
37;const;0,0033;0,0009;0,0036;0,0014;0,0025;
38;const;0,005;0,0018;0,0245;0,0018;0,0026;
39;const;0,005;0,0016;0,0051;0,002;0,0039;
40;const;0,0035;0,001;0,0076;0,0146;0,0027;
41;const;0,0034;0,0012;0,0031;0,0013;0,003;
